Date tot,Outbreaks_Global,Africa,America,Asia_Pacific,Europe
1/1/2005,0,0,0,0,0
1/2/2005,0,0,0,0,0
1/3/2005,0,0,0,0,0
1/4/2005,0,0,0,0,0
1/5/2005,0,0,0,0,0
1/6/2005,0,0,0,0,0
1/7/2005,0,0,0,0,0
1/8/2005,0,0,0,0,0
1/9/2005,0,0,0,0,0
1/10/2005,0,0,0,0,0
1/11/2005,0,0,0,0,0
1/12/2005,0,0,0,0,0
1/13/2005,0,0,0,0,0
1/14/2005,0,0,0,0,0
1/15/2005,0,0,0,0,0
1/16/2005,0,0,0,0,0
1/17/2005,0,0,0,0,0
1/18/2005,0,0,0,0,0
1/19/2005,0,0,0,0,0
1/20/2005,0,0,0,0,0
1/21/2005,0,0,0,0,0
1/22/2005,0,0,0,0,0
1/23/2005,0,0,0,0,0
1/24/2005,0,0,0,0,0
1/25/2005,0,0,0,0,0
1/26/2005,0,0,0,0,0
1/27/2005,0,0,0,0,0
1/28/2005,0,0,0,0,0
1/29/2005,0,0,0,0,0
1/30/2005,0,0,0,0,0
1/31/2005,0,0,0,0,0
2/1/2005,0,0,0,0,0
2/2/2005,0,0,0,0,0
2/3/2005,0,0,0,0,0
2/4/2005,0,0,0,0,0
2/5/2005,0,0,0,0,0
2/6/2005,0,0,0,0,0
2/7/2005,0,0,0,0,0
2/8/2005,0,0,0,0,0
2/9/2005,0,0,0,0,0
2/10/2005,0,0,0,0,0
2/11/2005,0,0,0,0,0
2/12/2005,0,0,0,0,0
2/13/2005,0,0,0,0,0
2/14/2005,0,0,0,0,0
2/15/2005,0,0,0,0,0
2/16/2005,0,0,0,0,0
2/17/2005,0,0,0,0,0
2/18/2005,0,0,0,0,0
2/19/2005,0,0,0,0,0
2/20/2005,0,0,0,0,0
2/21/2005,0,0,0,0,0
2/22/2005,0,0,0,0,0
2/23/2005,0,0,0,0,0
2/24/2005,0,0,0,0,0
2/25/2005,1,0,0,1,0
2/26/2005,0,0,0,0,0
2/27/2005,0,0,0,0,0
2/28/2005,0,0,0,0,0
3/1/2005,0,0,0,0,0
3/2/2005,0,0,0,0,0
3/3/2005,0,0,0,0,0
3/4/2005,0,0,0,0,0
3/5/2005,2,0,0,2,0
3/6/2005,0,0,0,0,0
3/7/2005,0,0,0,0,0
3/8/2005,0,0,0,0,0
3/9/2005,0,0,0,0,0
3/10/2005,0,0,0,0,0
3/11/2005,0,0,0,0,0
3/12/2005,0,0,0,0,0
3/13/2005,0,0,0,0,0
3/14/2005,0,0,0,0,0
3/15/2005,0,0,0,0,0
3/16/2005,0,0,0,0,0
3/17/2005,0,0,0,0,0
3/18/2005,0,0,0,0,0
3/19/2005,0,0,0,0,0
3/20/2005,0,0,0,0,0
3/21/2005,0,0,0,0,0
3/22/2005,0,0,0,0,0
3/23/2005,0,0,0,0,0
3/24/2005,0,0,0,0,0
3/25/2005,0,0,0,0,0
3/26/2005,0,0,0,0,0
3/27/2005,0,0,0,0,0
3/28/2005,0,0,0,0,0
3/29/2005,0,0,0,0,0
3/30/2005,0,0,0,0,0
3/31/2005,0,0,0,0,0
4/1/2005,0,0,0,0,0
4/2/2005,0,0,0,0,0
4/3/2005,0,0,0,0,0
4/4/2005,0,0,0,0,0
4/5/2005,0,0,0,0,0
4/6/2005,0,0,0,0,0
4/7/2005,0,0,0,0,0
4/8/2005,0,0,0,0,0
4/9/2005,0,0,0,0,0
4/10/2005,0,0,0,0,0
4/11/2005,0,0,0,0,0
4/12/2005,0,0,0,0,0
4/13/2005,0,0,0,0,0
4/14/2005,0,0,0,0,0
4/15/2005,0,0,0,0,0
4/16/2005,0,0,0,0,0
4/17/2005,0,0,0,0,0
4/18/2005,0,0,0,0,0
4/19/2005,0,0,0,0,0
4/20/2005,0,0,0,0,0
4/21/2005,0,0,0,0,0
4/22/2005,0,0,0,0,0
4/23/2005,0,0,0,0,0
4/24/2005,0,0,0,0,0
4/25/2005,0,0,0,0,0
4/26/2005,0,0,0,0,0
4/27/2005,0,0,0,0,0
4/28/2005,0,0,0,0,0
4/29/2005,0,0,0,0,0
4/30/2005,0,0,0,0,0
5/1/2005,0,0,0,0,0
5/2/2005,0,0,0,0,0
5/3/2005,0,0,0,0,0
5/4/2005,0,0,0,0,0
5/5/2005,0,0,0,0,0
5/6/2005,0,0,0,0,0
5/7/2005,0,0,0,0,0
5/8/2005,0,0,0,0,0
5/9/2005,0,0,0,0,0
5/10/2005,0,0,0,0,0
5/11/2005,0,0,0,0,0
5/12/2005,0,0,0,0,0
5/13/2005,0,0,0,0,0
5/14/2005,0,0,0,0,0
5/15/2005,0,0,0,0,0
5/16/2005,0,0,0,0,0
5/17/2005,0,0,0,0,0
5/18/2005,0,0,0,0,0
5/19/2005,0,0,0,0,0
5/20/2005,0,0,0,0,0
5/21/2005,0,0,0,0,0
5/22/2005,0,0,0,0,0
5/23/2005,0,0,0,0,0
5/24/2005,0,0,0,0,0
5/25/2005,0,0,0,0,0
5/26/2005,0,0,0,0,0
5/27/2005,0,0,0,0,0
5/28/2005,0,0,0,0,0
5/29/2005,0,0,0,0,0
5/30/2005,0,0,0,0,0
5/31/2005,0,0,0,0,0
6/1/2005,0,0,0,0,0
6/2/2005,0,0,0,0,0
6/3/2005,0,0,0,0,0
6/4/2005,0,0,0,0,0
6/5/2005,0,0,0,0,0
